PHRASE,FULL_TEXT
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,How many times can I get a discount?
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
cover charge,how do i get in touch with the property manager
discount,Can we get a discount on our nexting booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
extend stay,Can we extend the stay?
extend stay,How long can I extend my stay?
extend stay,How many times is it possible for me to extend my stay?
extend stay,I would like to extend my stay
extend stay,Can I extend my stay for few more days?
extend stay,What procedure do i need to follow to extend my stay?
extend stay,Is there a way to extend my stay?
extend stay,For how is it possible to extend my stay?
extend stay,extend my stay by 4 days
extend stay,I want to extend my stay
extend stay,please extend my stay
extend stay,i want to extend stay by 5 days
extend stay,please extend my stay by 2 days
extend stay,can I extend my stay by 2 days
extend stay,i want to extend my stay by 5 days
extend stay,extend the stay by 1 hour?
distance,what is the distance between vacation rental and town?
discount,Can we get a discount on our nexting booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
breakfast,Continental Breakfast
location,vending machine location
ice machine,ice machine
ice machine,ice machine?
location,ice machine location
ice machine,ice machine location
coffee,Coffee
gym,good morning. Is there a gym here?
gym,is there a gym
phone,Contact the correct phone
discount,Can we get a discount on our nexting booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
program,how can I join IHG rewards program
program,how can I join IHG rewards program
program,do you have a rewards program
program,do you have a rewards program
program,do you have a rewards program
rewards program,can i get membership info
discount,Can we get a discount on our next booking?
discount,Can we get a discount on our next booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
rewards program,can i get membership info
program,how do i enroll in hotel's reward program
program,how do i enroll in your rewards program
program,is there customer loyalty program
program,do you have a rewards program
rewards program,join IHG rewards club
program,how can i join membership program
rewards program,how can i join membership program
program,how can I join IHG rewards program
program,i want to join your membership program
rewards program,i want to join your membership program
discount,Can we get a discount on our next booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
rewards program,can i get membership info
program,how do i enroll in hotel's reward program
program,how do i enroll in your rewards program
program,is there customer loyalty program
program,do you have a rewards program
rewards program,join IHG rewards club
program,how can i join membership program
rewards program,how can i join membership program
program,how can I join IHG rewards program
program,i want to join your membership program
rewards program,i want to join your membership program
program,"Hi, I just wanna know, what music play today?"
program,program on monday
tv remote,I have an issue with the remote control to the tv
program,what kind of events are hosted in the hotel
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
coffee,"Hi, could we get coffee for the coffee maker,please"
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
pet policy,is dog allowed
pet policy,This motel 6 has a different dog policy than most.
pet policy,This motel 6 has a different dog policy than most.
pet policy,Do you have dog friendly rooms if so is there a charge is it per dog?
pet policy,Do you have dog friendly rooms if so is there a charge is it per dog?
coffee,"Hi, could we get coffee for the coffee maker,please"
coffee,"Hi, could we get coffee for the coffee maker,please"
coffee,"Hi, could we get coffee for the coffee maker,please"
air conditioning,room heating facility?
laundry,is there a laundry room?
gift shop,do you have any gift shop in your hotel
bar,any bars you recommend in the area
air conditioning,room heating facility?
air conditioning,room heating facility?
laundry,Do you have laundry service in the hotel
location,where is laundry located
laundry,where is laundry located
location,where is the laundry
laundry,where is the laundry
cancellation policy,What is the cancellation fee?
cancellation policy,do you charge a cancellation fee?
cancellation policy,Do I pay a cancellation fee?
cancellation policy,Do I pay a cancellation fee while canceling the vacation from your side?
emergency,Whom shall I contact in case of emergency
corona,What are the corona virus protocols
corona,list out the corona virus protocols
safety deposit box,What is this vacation rental doing to keep us safe?
safety deposit box,Will this vacation rental keep us safe?
safety deposit box,What are the steps available this vacation rental to keep us safe?
safety deposit box,What does this vacation rental do to keep us safe?
safety deposit box,What steps the property is taking to keep us safe
safety deposit box,How safe is the property
hours of operation,Do u have night time patroling
safety deposit box,Is the property safe during nighttime
safety deposit box,How do u ensure the property is safe during night
distance,How far is the vacation rental from town?
distance,what is the distance between vacation rental and town?
hours of operation,How much time does it take to reach the vacation rental from town?
distance,How far is the town from the property
distance,How far is the town from where I stay
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
distance,How far is the vacation rental from airport?
distance,what is the distance between vacation rental and airport?
distance,how far does it take to get to the vacation rental from airport?
hours of operation,How much time will it take to reach the vacation rental from the airport?
shelter-in-place,can i travel on public transportation during lockdown ?
near by,Is there any public transportation available near the vacation rental?
safety deposit box,Is it safe to travel in public transportation in covid situation?
cancellation policy,What is the cancellation fee?
cancellation policy,do you charge a cancellation fee?
cancellation policy,Do I pay a cancellation fee?
cancellation policy,Do I pay a cancellation fee while canceling the vacation from your side?
emergency,Whom shall I contact in case of emergency
corona,What are the corona virus protocols
corona,list out the corona virus protocols
safety deposit box,What is this vacation rental doing to keep us safe?
safety deposit box,Will this vacation rental keep us safe?
safety deposit box,What are the steps available this vacation rental to keep us safe?
safety deposit box,What does this vacation rental do to keep us safe?
safety deposit box,What steps the property is taking to keep us safe
safety deposit box,How safe is the property
hours of operation,Do u have night time patroling
safety deposit box,Is the property safe during nighttime
safety deposit box,How do u ensure the property is safe during night
distance,How far is the vacation rental from town?
distance,what is the distance between vacation rental and town?
hours of operation,How much time does it take to reach the vacation rental from town?
distance,How far is the town from the property
distance,How far is the town from where I stay
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
distance,How far is the vacation rental from airport?
distance,what is the distance between vacation rental and airport?
distance,how far does it take to get to the vacation rental from airport?
hours of operation,How much time will it take to reach the vacation rental from the airport?
shelter-in-place,can i travel on public transportation during lockdown ?
near by,Is there any public transportation available near the vacation rental?
safety deposit box,Is it safe to travel in public transportation in covid situation?
cancellation policy,What is the cancellation fee?
cancellation policy,do you charge a cancellation fee?
cancellation policy,Do I pay a cancellation fee?
cancellation policy,Do I pay a cancellation fee while canceling the vacation from your side?
emergency,Whom shall I contact in case of emergency
corona,What are the corona virus protocols
corona,list out the corona virus protocols
safety deposit box,What is this vacation rental doing to keep us safe?
safety deposit box,Will this vacation rental keep us safe?
safety deposit box,What are the steps available this vacation rental to keep us safe?
safety deposit box,What does this vacation rental do to keep us safe?
safety deposit box,What steps the property is taking to keep us safe
safety deposit box,How safe is the property
hours of operation,Do u have night time patroling
safety deposit box,Is the property safe during nighttime
safety deposit box,How do u ensure the property is safe during night
distance,How far is the vacation rental from town?
distance,what is the distance between vacation rental and town?
hours of operation,How much time does it take to reach the vacation rental from town?
distance,How far is the town from the property
distance,How far is the town from where I stay
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
distance,How far is the vacation rental from airport?
distance,what is the distance between vacation rental and airport?
distance,how far does it take to get to the vacation rental from airport?
hours of operation,How much time will it take to reach the vacation rental from the airport?
shelter-in-place,can i travel on public transportation during lockdown ?
near by,Is there any public transportation available near the vacation rental?
safety deposit box,Is it safe to travel in public transportation in covid situation?
safety deposit box,Is it safe to leave windows open?
hours of operation,Is it safe to leave windows open?
safety deposit box,Is it safe to sleep with windows open?
hours of operation,Is it safe to sleep with windows open?
safety deposit box,can i leave windows open and it is safe?
hours of operation,can i leave windows open and it is safe?
hours of operation,Can i go outside leaving the windows open?
near by,Can we move to another vacation rental nearby?
near by,I would like to move to another vacation rental nearby.
cancellation policy,What is the cancellation fee?
cancellation policy,What is the cancellation fee?
cancellation policy,do you charge a cancellation fee?
cancellation policy,Do I pay a cancellation fee?
cancellation policy,Do I pay a cancellation fee while canceling the vacation from your side?
emergency,Whom shall I contact in case of emergency
corona,What are the corona virus protocols
corona,list out the corona virus protocols
safety deposit box,What is this vacation rental doing to keep us safe?
safety deposit box,Will this vacation rental keep us safe?
safety deposit box,What are the steps available this vacation rental to keep us safe?
safety deposit box,What does this vacation rental do to keep us safe?
safety deposit box,What steps the property is taking to keep us safe
safety deposit box,How safe is the property
hours of operation,Do u have night time patroling
safety deposit box,Is the property safe during nighttime
safety deposit box,How do u ensure the property is safe during night
distance,How far is the vacation rental from town?
distance,what is the distance between vacation rental and town?
hours of operation,How much time does it take to reach the vacation rental from town?
distance,How far is the town from the property
distance,How far is the town from where I stay
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
distance,How far is the vacation rental from airport?
distance,what is the distance between vacation rental and airport?
distance,how far does it take to get to the vacation rental from airport?
hours of operation,How much time will it take to reach the vacation rental from the airport?
shelter-in-place,can i travel on public transportation during lockdown ?
near by,Is there any public transportation available near the vacation rental?
safety deposit box,Is it safe to travel in public transportation in covid situation?
drinking water,Is it better to drink bottled or tap water?
safety deposit box,Is it safe to leave windows open?
hours of operation,Is it safe to leave windows open?
safety deposit box,is it safe to leave windows open during a thunderstorm
hours of operation,is it safe to leave windows open during a thunderstorm
safety deposit box,can i leave windows open and it is safe?
hours of operation,can i leave windows open and it is safe?
safety deposit box,Is it safe to sleep with windows open?
hours of operation,Is it safe to sleep with windows open?
hours of operation,Can i go outside leaving the windows open?
near by,Can we move to another vacation rental nearby?
near by,I would like to move to another vacation rental nearby.
safety deposit box,Is it safe to leave windows open at night?
hours of operation,Is it safe to leave windows open at night?
near by,What are the best restaurants nearby?
near by,How do i know about the best restaurants nearby?
near by,which are all the best restaurants nearby?
near by,Is there any good restaurants nearby?
restaurant,IS there a any good restaurant available  nearby?
near by,IS there a any good restaurant available  nearby?
restaurant,how much do i need to travel to reach a nearby best restaurant?
near by,how much do i need to travel to reach a nearby best restaurant?
safety deposit box,Is it safe to be out at night?
safety deposit box,How do I stay safe outside at night?
safety deposit box,Is it safe to travel at night or day?
safety deposit box,Do you feel safe going outside at night?
safety deposit box,What do you do to stay safe when being out at night?
extend stay,Can we extend the stay?
extend stay,How long can I extend my stay?
extend stay,How many times is it possible for me to extend my stay?
extend stay,I would like to extend my stay
extend stay,Can I extend my stay for few more days?
extend stay,What procedure do i need to follow to extend my stay?
extend stay,Is there a way to extend my stay?
extend stay,For how is it possible to extend my stay?
extend stay,extend my stay by 4 days
extend stay,I want to extend my stay
extend stay,please extend my stay
extend stay,i want to extend stay by 5 days
extend stay,please extend my stay by 2 days
extend stay,can I extend my stay by 2 days
extend stay,i want to extend my stay by 5 days
extend stay,extend the stay by 1 hour?
check out,What is the checkout policy
check-in,Do u have a checklist to follow before leaving your property
lost and found,What is your lost and found policy
charger,I left my charger in the vacation rental. will you be able to send it to me?
discount,Can we get a discount on our nexting booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
hours of operation,Do you provide any special offers for second time booking?
rewards program,Can I use my membership rewards towards next booking
cover charge,how do i get in touch with the property manager
coffee,"Hi, could we get coffee for the coffee maker,please"
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
air conditioning,room heating facility?
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
coffee,"Hi, could we get coffee for the coffee maker,please"
pet policy,Do you have dog friendly rooms if so is there a charge is it per dog?
tv remote,I have an issue with the remote control to the tv
air conditioning,room heating facility?
air conditioning,room heating facility?
program,do you have membership and loyalty program?
rewards program,do you have membership and loyalty program?
program,can you provide information on membership and loyalty program?
rewards program,can you provide information on membership and loyalty program?
coffee,"Hi, could we get coffee for the coffee maker,please"
pet policy,Do you have dog friendly rooms if so is there a charge is it per dog?
tv remote,I have an issue with the remote control to the tv
air conditioning,room heating facility?
gym,good morning. Is there a gym here?
coffee,"Hi, could we get coffee for the coffee maker,please"
microwave,microwave
tickets,Can I fly on business class if I don't get tickets in ecomony class
tickets,Can I fly on business class if I don't get tickets in allowed classes
tickets,Can i pay the flight tickets from my pocket and reemburse it later
tickets,Can I fly on business class if I don't get tickets in ecomony class
tickets,Can I fly on business class if I don't get tickets in allowed classes
tickets,Can i pay the flight tickets from my pocket and reemburse it later
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are the nearby attractions
near by,what are the nearby attractions
attractions,what are the nearby attractions
near by,what are the nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
near by,what are nearby attactions
near by,what are nearby adventures
near by,what are nearby adventures
attractions,what are the nearby attractions
near by,what are the nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,what are nearby attractions
near by,what are nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,near by attractions
near by,near by attractions
attractions,nearby attractions
near by,nearby attractions
near by,nearby attractins
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,Nearby attractions
near by,Nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
near by,nearby images
attractions,near by attractions
near by,near by attractions
checkin time,checkin time
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
checkout time,checkout time
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
attractions,nearby attractions
near by,nearby attractions
nanny service,Do you have nanny service
laundry,is there a laundry room?
laundry,Do you guys have laundry service
laundry,do you have laundry
location,where is laundry located
laundry,where is laundry located
laundry,how much it cost per load of laundry
laundry,what is the cost of laundry service
channel lineup,"channel.sendMessage(user.id, countText, response.action, response.score);"
channel lineup,"channel.sendMessage(user.id, countText + facility.text, response.action, response.score);"
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
face masks,Will the staff be wearing safety masks
attractions,nearby attractions
near by,nearby attractions
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
location,location of business center
business center,location of business center
wakeup call,Can u get Wakeup call tmr
tickets,Can I fly on business class if I don't get tickets in ecomony class
tickets,Can I fly on business class if I don't get tickets in allowed classes
tickets,Can i pay the flight tickets from my pocket and reemburse it later
business center,Is there a business center?
shopping,Do I need a rental car to goto shopping mall
shopping,Do I need a rental car to goto shopping mall
discount,Can we get a discount on our nexting booking?
discount,How can I get a discount when booking a hotel?
discount,What to do if I forgot to add a discount coupon?
discount,How to get discount details?
hours of operation,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,"If I book without a coupon at the time of booking, can this discount be used at a different cost?"
discount,How many times can I get a discount?
discount,How many times can I use the same discount coupon?
hours of operation,"If I am coming to your hotel for the first time, can I get more discounts?"
discount,Is there discount for direct booking
rewards program,Do you offer membership discount
discount,Do you offer membership discount
discount,Discount for loyalty members
rewards program,Membership discount
discount,Membership discount
rewards program,What are your membership discounts
rewards program,Can I use my membership rewards towards next booking
hours of operation,Do you provide any special offers for second time booking?
corona,Can i get tested for COVID-19 at the airport?
corona,Do I need to get tested before I travel during COVID-19?
corona,My travel plans require a negative COVID-19 test. Can I be tested for COVID-19 at SFO prior to my flight?
corona,What happens if I test positive for COVID-19?
corona,What are the health and/or COVID-19 testing requirements if I leave the country to visit other countries?
cancellation policy,What is your Covid cancelation policy
cancellation policy,is there any option available to cancel without cancellation fee?
cancellation policy,before how many days do i need to inform if i want to cancel without cancellation charges?
check-in,I won't be able to check-in today.will i be charged if i cancel now?
cancellation policy,can you tell about the cancellation process?
cancellation policy,I wont be flying due to Covid. What are the Cancelation charges
cancellation policy,Will there be any cancelation charges if I am sick due to Covid
sick,Will there be any cancelation charges if I am sick due to Covid
cancellation policy,Do I need to pay cancelation fees if I cancel my flight due to Covid
location,Where is the Visitor Information Center located?
cancellation policy,Can i know about your cancellation policy?
cancellation policy,"I would like to change my travel plans , what is ur cancellation policy?"
cancellation policy,cancellation policy?
cancellation policy,can you explain about cancellation policy?
cancellation policy,what is your cancellation policy?
cancellation policy,"i want to cancel my booking ,what is your cancellation policy?"
hours of operation,how much time will  it take to receive the travel documents?
hours of operation,how much time the hotel takes to ping me once the room is ready?
safety deposit box,What is my hotel doing to keep us safe?
safety deposit box,what sanitization steps the hotel is taking to keep us safe
safety deposit box,Safety procedures your hotel is following to keep us safe
corona,What safety process your hotel is taking for Corona
safety deposit box,the procedure my hotel follows doing to keep us safe?
safety deposit box,the precaution my hotel follows doing to keep us safe?
safety deposit box,what kind of measures are taken by the hotel to keep us safe?
hours of operation,how many hours before the flight the test needs to be taken?
luggage storage,Can I carry lithium batteries in my cabin luggage
check-in,Can I carry lithium batteries in my checkin baggage
luggage storage,Can I carry power bank in my cabin luggage
charger,Can I store my portable usb charger in my cabin luggage
luggage storage,Can I store my portable usb charger in my cabin luggage
charger,Can I store my portable usb charger in my checkin baggage
check-in,Can I store my portable usb charger in my checkin baggage
safety deposit box,Is it safe to carry portable charger in person
charger,Is it safe to carry portable charger in person
phone,Can I carry portable cahrger in person for my phone
safety deposit box,is it safe to dine in restaurants?
hours of operation,are restaurants open to dine in?
hours of operation,what is the curfew time?
hours of operation,what are the curfew hours
hours of operation,How is the weather during my travel time
phone,Can I use my cell phone in your city
phone,Will my cell phone work in your city
phone,Where can I get local phone
hours of operation,What is the local time?
hours of operation,how to get the local time?
hours of operation,can i get local time?
hours of operation,show the local time
hours of operation,What is your local time in GMT
hours of operation,How do I find the local time
hours of operation,Can you let me know the local time in your city
safety deposit box,is it safe to drink the water?
safety deposit box,Is it safe to drink raw water?
safety deposit box,how to make tap water safe to drink?
safety deposit box,Is bottled water safe to drink?
drinking water,Is bottled water safe to drink?
safety deposit box,Is tap water safe to drink
drinking water,Do i need bottled water
safety deposit box,Is drinking tap water safe
near by,What are the popular sightseeing places available near by?
attractions,Can you mention some nearby attractions to explore?
near by,Can you mention some nearby attractions to explore?
attractions,is there any must visit tourist attractions near your place?
attractions,is there any must visit tourist attractions near your place?
attractions,What are the popular things to do in your place?
hours of operation,what must do things can i do during my free time?
attractions,What are popular attractions
attractions,Where can i find popular activities and attractions nearby
near by,Where can i find popular activities and attractions nearby
distance,how much distance do we need to travel to reach local hospitals from your place?
hospital,is there any local hospital located near your property?
emergency,can you suggest some good local health center for emergency?
location,can i know the address of the nearby local hospital?
near by,can i know the address of the nearby local hospital?
hospital,can i know the address of the nearby local hospital?
near by,nearby health care centers?
hours of operation,how much time will it take to reach the local hospital from your place?
hospital,how much time will it take to reach the local hospital from your place?
hospital,what is the nearest hospital
tour packages,Do you have any tour packages?
tour packages,how can i book a sightseeing tour packages?
tour packages,Does your hotel offer any sightseeing tour packages?
tour packages,How many sightseeing tour packages does your hotel offers?
tour packages,Tours and Sighseeing packages information
discount,Do you have discount for sighseeing packages
tour packages,Do you arrange sightseeing tours
near by,nearby beaches?
near by,Can you suggest any nearby good beaches to visit?
hours of operation,how much time it takes to reach the beaches from your property?
attractions,Attractions
distance,How far are the beaches from the hotel
hours of operation,timing for restaurants?
hours of operation,What is the closing time for restaurants?
hours of operation,Will the restaurants stay open till late night?
hours of operation,Will i be able to dine in during late hours in the restaurants?
emergency,Can I change my return date due to Emergency reason
emergency,Can I change my return date in case of Emergency
restaurant,Is it required to give tips in the restaurant
restaurant,How much do i need to tip in the restaurant
restaurant,Is there a custom of giving tip in the restaurant
restaurant,Are we expected to give tip in the restaurant
hours of operation,How much time will it take to replace my lost passport?
hours of operation,How late are the restaurants open?
hours of operation,what is the restaurants open time?
hours of operation,what is the restaurants open time?
hours of operation,the time when restaurants open?
hours of operation,the time when restaurants open?
hours of operation,what is the time when restaurants get open?
hours of operation,what is the time when restaurants get open?
attractions,what are the popular things to do in your area?
attractions,what are the popular things to do in lockdown or curfew in your place?
shelter-in-place,what are the popular things to do in lockdown or curfew in your place?
attractions,nearby attractions
near by,nearby attractions
near by,What are the popular sightseeing places available near by?
attractions,Can you mention some nearby attractions to explore?
near by,Can you mention some nearby attractions to explore?
attractions,is there any must visit tourist attractions near your place?
attractions,is there any must visit tourist attractions near your place?
attractions,What are the popular things to do in your place?
hours of operation,what must do things can i do during my free time?
attractions,What are popular attractions
attractions,Where can i find popular activities and attractions nearby
near by,Where can i find popular activities and attractions nearby
corona,Can i get tested for COVID-19 at the airport?
corona,Do I need to get tested before I travel during COVID-19?
corona,My travel plans require a negative COVID-19 test. Can I be tested for COVID-19 at SFO prior to my flight?
corona,What happens if I test positive for COVID-19?
corona,What are the health and/or COVID-19 testing requirements if I leave the country to visit other countries?
cancellation policy,What is your Covid cancelation policy
cancellation policy,is there any option available to cancel without cancellation fee?
cancellation policy,before how many days do i need to inform if i want to cancel without cancellation charges?
check-in,I won't be able to check-in today.will i be charged if i cancel now?
cancellation policy,can you tell about the cancellation process?
cancellation policy,I wont be flying due to Covid. What are the Cancelation charges
cancellation policy,Will there be any cancelation charges if I am sick due to Covid
sick,Will there be any cancelation charges if I am sick due to Covid
cancellation policy,Do I need to pay cancelation fees if I cancel my flight due to Covid
location,Where is the Visitor Information Center located?
cancellation policy,Can i know about your cancellation policy?
cancellation policy,"I would like to change my travel plans , what is ur cancellation policy?"
cancellation policy,cancellation policy?
cancellation policy,can you explain about cancellation policy?
cancellation policy,what is your cancellation policy?
cancellation policy,"i want to cancel my booking ,what is your cancellation policy?"
hours of operation,how much time will  it take to receive the travel documents?
hours of operation,how much time the hotel takes to ping me once the room is ready?
safety deposit box,What is my hotel doing to keep us safe?
safety deposit box,what sanitization steps the hotel is taking to keep us safe
safety deposit box,Safety procedures your hotel is following to keep us safe
corona,What safety process your hotel is taking for Corona
safety deposit box,the procedure my hotel follows doing to keep us safe?
safety deposit box,the precaution my hotel follows doing to keep us safe?
safety deposit box,what kind of measures are taken by the hotel to keep us safe?
hours of operation,how many hours before the flight the test needs to be taken?
luggage storage,Can I carry lithium batteries in my cabin luggage
check-in,Can I carry lithium batteries in my checkin baggage
luggage storage,Can I carry power bank in my cabin luggage
charger,Can I store my portable usb charger in my cabin luggage
luggage storage,Can I store my portable usb charger in my cabin luggage
charger,Can I store my portable usb charger in my checkin baggage
check-in,Can I store my portable usb charger in my checkin baggage
safety deposit box,Is it safe to carry portable charger in person
charger,Is it safe to carry portable charger in person
phone,Can I carry portable cahrger in person for my phone
safety deposit box,is it safe to dine in restaurants?
hours of operation,are restaurants open to dine in?
hours of operation,what is the curfew time?
hours of operation,what are the curfew hours
hours of operation,How is the weather during my travel time
phone,Can I use my cell phone in your city
phone,Will my cell phone work in your city
phone,Where can I get local phone
hours of operation,What is the local time?
hours of operation,how to get the local time?
hours of operation,can i get local time?
hours of operation,show the local time
hours of operation,What is your local time in GMT
hours of operation,How do I find the local time
hours of operation,Can you let me know the local time in your city
attractions,Nearby attractions
near by,Nearby attractions
near by,nearby attactions
safety deposit box,is it safe to drink the water?
safety deposit box,Is it safe to drink raw water?
safety deposit box,how to make tap water safe to drink?
safety deposit box,Is bottled water safe to drink?
drinking water,Is bottled water safe to drink?
safety deposit box,Is tap water safe to drink
drinking water,Do i need bottled water
safety deposit box,Is drinking tap water safe
near by,What are the popular sightseeing places available near by?
attractions,Can you mention some nearby attractions to explore?
near by,Can you mention some nearby attractions to explore?
attractions,is there any must visit tourist attractions near your place?
attractions,is there any must visit tourist attractions near your place?
attractions,What are the popular things to do in your place?
hours of operation,what must do things can i do during my free time?
attractions,What are popular attractions
attractions,Where can i find popular activities and attractions nearby
near by,Where can i find popular activities and attractions nearby
distance,how much distance do we need to travel to reach local hospitals from your place?
hospital,is there any local hospital located near your property?
emergency,can you suggest some good local health center for emergency?
location,can i know the address of the nearby local hospital?
near by,can i know the address of the nearby local hospital?
hospital,can i know the address of the nearby local hospital?
near by,nearby health care centers?
attractions,nearby attractions
near by,nearby attractions
hours of operation,how much time will it take to reach the local hospital from your place?
